Gottfrid Olsson 2022-01-21 18:33 measurements taken at Dr.Forselius Backe 50, 41326, Gothenburg. From 2022-01-06: measurements with PMAS version Beta. with 2mm hole caps (varepsilon < 0.5 deg).

Date, TimeOfDay, MeasuredAngle, DayOfYear, Correction, CalculatedLatitude
2021-02-27, 10:18, 71.0,  57,  -9.5, 61.5
2021-02-27, 12:00, 66.5,  57,  -9.5, 57.0
2021-02-27, 13:10, 67.0,  57,  -9.5, 57.5
2021-02-28, 10:21, 70.0,  58,  -9.2, 60.8
2021-02-28, 11:59, 66.0,  58,  -9.2, 56.8
2021-02-28, 13:17, 66.0,  58,  -9.2, 56.8
2021-03-01, 08:55, 78.0,  59,  -8.8, 69.2
2021-03-01, 09:58, 72.0,  59,  -8.8, 63.2
2021-03-01, 10:56, 68.0,  59,  -8.8, 59.2
2021-03-01, 12:11, 65.5,  59,  -8.8, 56.7
2021-03-02, 09:52, 72.5,  60,  -8.5, 64.1
2021-03-02, 10:56, 67.5,  60,  -8.5, 69.1
2021-03-02, 11:59, 66.0,  60,  -8.5, 57.6
2021-03-05, 09:58, 70.0,  63,  -7.3, 62.7
2021-03-05, 10:58, 66.0,  63,  -7.3, 58.7
2021-03-05, 12:21, 64.5,  63,  -7.3, 57.7
2021-03-05, 13:11, 65.0,  63,  -7.3, 57.7
2021-03-10, 09:08, 72.5,  68,  -5.3, 67.2
2021-03-10, 10:06, 68.5,  68,  -5.3, 63.2
2021-03-10, 12:05, 62.0,  68,  -5.3, 56.7
2021-03-10, 14:11, 66.0,  68,  -5.3, 60.7
2021-03-14, 10:56, 63.0,  72,  -3.7, 59.3
2021-03-14, 12:11, 61.0,  72,  -3.7, 57.3
2021-03-18, 12:13, 60.0,  76,  -2.1, 57.9
2021-03-21, 09:07, 69.0,  79,  -0.9, 68.1
2021-03-21, 10:13, 63.0,  79,  -0.9, 62.1
2021-03-21, 11:52, 58.0,  79,  -0.9, 57.1
2021-03-21, 12:56, 59.0,  79,  -0.9, 58.1
2021-03-22, 12:26, 58.0,  80,  -0.5, 57.5
2021-04-16, 11:46, 50.5, 105,  +9.3, 59.8
2021-04-16, 12:34, 49.0, 105,  +9.3, 58.3
2021-04-19, 12:18, 49.0, 108, +10.4, 59.4
2021-08-22, 13:04, 46.0, 233, +11.9, 57.9
2021-08-23, 12:32, 48.0, 234, +11.5, 59.5
2021-08-24, 11:01, 54.0, 235, +11.2, 65.2
2021-08-24, 12:01, 49.0, 235, +11.2, 60.2
2021-08-24, 13:13, 48.0, 235, +11.2, 59.2
2021-08-25, 11:00, 54.5, 236, +10.4, 65.3
2021-08-25, 11:32, 52.0, 236, +10.4, 62.8
2021-08-25, 12:00, 50.0, 236, +10.8, 60.8
2021-08-25, 12:36, 48.0, 236, +10.8, 58.8
2021-08-30, 11:00, 55.0, 241,  +9.0, 64.0
2021-08-30, 11:30, 52.5, 241,  +9.0, 61.5
2021-08-30, 12:00, 51.0, 241,  +9.0, 60.0
2021-08-30, 12:32, 50.0, 241,  +9.0, 59.0
2021-08-30, 13:06, 50.0, 241,  +9.0, 59.0
2021-09-01, 12:30, 50.0, 243,  +8.2, 58.2
2021-09-01, 13:00, 50.0, 243,  +8.2, 58.2
2021-09-03, 12:08, 51.0, 245,  +7.5, 58.5
2021-09-03, 13:15, 50.0, 245,  +7.5, 57.5
2021-09-04, 12:00, 51.0, 246,  +7.1, 58.1
2021-09-04, 13:15, 51.0, 246,  +7.1, 58.1
2021-09-10, 12:43, 53.0, 252,  +4.7, 57.7
2021-09-13, 12:01, 55.0, 255,  +3.5, 58.5
2021-09-13, 12:46, 54.0, 255,  +3.5, 57.5
2021-09-25, 11:02, 63.0, 267,  -1.3, 61.7
2021-09-25, 12:24, 60.0, 267,  -1.3, 58.7
2021-09-25, 13:08, 59.5, 267,  -1.3, 58.2
2021-09-25, 14:21, 61.0, 267,  -1.3, 59.7
2021-09-26, 11:35, 61.0
2021-09-26, 12:08, 60.0
2021-09-26, 12:47, 59.0
2021-09-28, 12:22, 60.5
2021-09-28, 12:51, 60.0
2021-10-12, 11:57, 66.0
2021-10-12, 12:27, 65.0
2021-10-12, 13:00, 65.0
2021-10-13, 11:58, 66.0
2021-10-12, 13:14, 65.0
2021-10-16, 12:25, 67.0
2021-10-16, 12:59, 66.5
2021-10-17, 11:30, 68.5
2021-10-17, 12:05, 68.0
2021-10-17, 12:32, 68.0
2021-10-17, 13:02, 67.0
2021-10-21, 12:52, 68.0
2021-10-21, 14:13, 70.0
2021-10-23, 11:31, 71.5
2021-10-23, 12:03, 69.5
2021-10-23, 12:31, 69.0
2021-10-23, 13:04, 69.0
2021-10-23, 13:32, 70.0
2021-11-06, 12:22, 73.0
2021-11-21, 11:41, 77.5
2021-11-21, 12:28, 77.5
2021-11-23, 11:32, 78.0
2021-11-23, 12:00, 77.5
2021-11-23, 12:28, 78.0
2021-12-05, 10:35, 81.5
2021-12-05, 11:05, 80.5
2021-12-05, 11:34, 80.0
2021-12-05, 12:00, 80.0
2021-12-05, 12:26, 80.0
2021-12-05, 12:54, 80.5
2022-01-06, 11:45, 


